0000 - *CLS             *CLS          :*CLS
00B6 - SLOPe            SLOP          [:SENSe]:OUTPut:TRIGger:SLOPe
00B7 - APERture?        APER?         [:SENSe]:PERiod:APERture?
00B8 - APERture         APER          [:SENSe]:PERiod:APERture
00B9 - STATe?           STAT?         [:SENSe]:PERiod:NULL[:STATe]?
00BA - STATe            STAT          [:SENSe]:PERiod:NULL[:STATe]
00BB - VALue?           VAL?          [:SENSe]:PERiod:NULL:VALue?
00BC - VALue            VAL           [:SENSe]:PERiod:NULL:VALue
00BD - LOWer?           LOW?          [:SENSe]:PERiod:RANGe:LOWer?
00BE - LOWer            LOW           [:SENSe]:PERiod:RANGe:LOWer
00BF - AUTO?            AUTO?         [:SENSe]:PERiod:VOLTage:RANGe:AUTO?
00C0 - AUTO             AUTO          [:SENSe]:PERiod:VOLTage:RANGe:AUTO
00C1 - UPPer?           UPP?          [:SENSe]:PERiod:VOLTage:RANGe[:UPPer]?
00C2 - UPPer            UPP           [:SENSe]:PERiod:VOLTage:RANGe[:UPPer]
00C3 - APERture?        APER?         [:SENSe]:RESistance:APERture?
00C4 - APERture         APER          [:SENSe]:RESistance:APERture
00C5 - ENABled?         ENAB?         [:SENSe]:RESistance:APERture:ENABled?
00C6 - ENABled          ENAB          [:SENSe]:RESistance:APERture:ENABled
00C7 - NPLC?            NPLC?         [:SENSe]:RESistance:NPLC?
00C8 - NPLC             NPLC          [:SENSe]:RESistance:NPLC
00C9 - STATe?           STAT?         [:SENSe]:RESistance:NULL[:STATe]?
00CA - STATe            STAT          [:SENSe]:RESistance:NULL[:STATe]
00CB - VALue?           VAL?          [:SENSe]:RESistance:NULL:VALue?
00CC - VALue            VAL           [:SENSe]:RESistance:NULL:VALue
00CD - AUTO?            AUTO?         [:SENSe]:RESistance:RANGe:AUTO?
00CE - AUTO             AUTO          [:SENSe]:RESistance:RANGe:AUTO
00CF - UPPer?           UPP?          [:SENSe]:RESistance:RANGe[:UPPer]?
00D0 - UPPer            UPP           [:SENSe]:RESistance:RANGe[:UPPer]
00D1 - RESolution?      RES?          [:SENSe]:RESistance:RESolution?
00D2 - RESolution       RES           [:SENSe]:RESistance:RESolution
00D3 - BANDwidth?       BAND?         [:SENSe]:VOLTage:AC:BANDwidth?
00D4 - BANDwidth        BAND          [:SENSe]:VOLTage:AC:BANDwidth
00D5 - STATe?           STAT?         [:SENSe]:VOLTage:AC:NULL[:STATe]?
00D6 - STATe            STAT          [:SENSe]:VOLTage:AC:NULL[:STATe]
00D7 - VALue?           VAL?          [:SENSe]:VOLTage:AC:NULL:VALue?
00D8 - VALue            VAL           [:SENSe]:VOLTage:AC:NULL:VALue
00D9 - STATe?           STAT?         [:SENSe]:VOLTage:AC:PEAK:STATe?
00DA - STATe            STAT          [:SENSe]:VOLTage:AC:PEAK:STATe
00DB - AUTO?            AUTO?         [:SENSe]:VOLTage:AC:RANGe:AUTO?
00DC - AUTO             AUTO          [:SENSe]:VOLTage:AC:RANGe:AUTO
00DD - UPPer?           UPP?          [:SENSe]:VOLTage:AC:RANGe[:UPPer]?
00DE - UPPer            UPP           [:SENSe]:VOLTage:AC:RANGe[:UPPer]
00DF - RESolution?      RES?          [:SENSe]:VOLTage:AC:RESolution?
00E0 - RESolution       RES           [:SENSe]:VOLTage:AC:RESolution
00E1 - APERture?        APER?         [:SENSe]:VOLTage[:DC]:APERture?
00E2 - APERture         APER          [:SENSe]:VOLTage[:DC]:APERture
00E3 - ENABle?          ENAB?         [:SENSe]:VOLTage[:DC]:APERture:ENABle?
00E4 - ENABle           ENAB          [:SENSe]:VOLTage[:DC]:APERture:ENABle
00E5 - AUTO?            AUTO?         [:SENSe]:VOLTage[:DC]:IMPedance:AUTO?
00E6 - AUTO             AUTO          [:SENSe]:VOLTage[:DC]:IMPedance:AUTO
00E7 - NPLC?            NPLC?         [:SENSe]:VOLTage[:DC]:NPLC?
00E8 - NPLC             NPLC          [:SENSe]:VOLTage[:DC]:NPLC
00E9 - STATe?           STAT?         [:SENSe]:VOLTage[:DC]:NULL[:STATe]?
00EA - STATe            STAT          [:SENSe]:VOLTage[:DC]:NULL[:STATe]
00EB - VALue?           VAL?          [:SENSe]:VOLTage[:DC]:NULL:VALue?
00EC - VALue            VAL           [:SENSe]:VOLTage[:DC]:NULL:VALue
00ED - STATe?           STAT?         [:SENSe]:VOLTage[:DC]:PEAK:STATe?
00EE - STATe            STAT          [:SENSe]:VOLTage[:DC]:PEAK:STATe
00EF - AUTO?            AUTO?         [:SENSe]:VOLTage[:DC]:RANGe:AUTO?
00F0 - AUTO             AUTO          [:SENSe]:VOLTage[:DC]:RANGe:AUTO
00F1 - UPPer?           UPP?          [:SENSe]:VOLTage[:DC]:RANGe[:UPPer]?
00F2 - UPPer            UPP           [:SENSe]:VOLTage[:DC]:RANGe[:UPPer]
00F3 - RESolution?      RES?          [:SENSe]:VOLTage[:DC]:RESolution?
00F4 - RESolution       RES           [:SENSe]:VOLTage[:DC]:RESolution
00F5 - BANDwidth?       BAND?         [:SENSe]:DETector:BANDwidth?
00F6 - BANDwidth        BAND          [:SENSe]:DETector:BANDwidth
