nohup: ignoring input
Panel curve /home/ian/src/embedded-mcp/Logs/bench/panel-iv-2026-08-24_145423.json: Voc 7.711 V, Isc 0.1935 A, MPP 1.0981 W @ 6.249 V / 0.1757 A (140 points) -- CH1 follows this curve (alpha 0.4, tick 0.0 s)
DMM: Keysight Technologies,34461A,MY53222530,A.02.14-02.40-02.14-00.49-01-01
Resting V_bat: 3.3160 V
CH2 series ammeter: 0.000 V source, range 3.0 A, compliance +/-3.0 A | CH1 solar: curve follower from Voc 7.711 V, +0.2128/-0.01 A
CH1 on: 7.7127 V (set 7.7114 V; sag under load is panel behavior)
waiting 3.0 s for the board to boot from solar...
CH2 on: 0.0 V across the ammeter (0 near-zero = healthy loop; boot-loop transients are expected and bounded by compliance)
========================================================================
FIRST SAMPLE: i_chg = +0.3196 A (i2_raw +0.3196 A, --sign +1) -- if this is negative while the battery is charging, rerun with --sign -1
========================================================================
[1:19:58] #2400 V_bat=3.3947 V i_chg=+0.2780 A P_in=1.090 W Ah=0.3705 Wh=1.2547 eff=86.5% flags=-
[1:20:58] #2430 V_bat=3.3950 V i_chg=+0.2780 A P_in=1.090 W Ah=0.3751 Wh=1.2705 eff=86.5% flags=-
[1:21:58] #2460 V_bat=3.3953 V i_chg=+0.2779 A P_in=1.090 W Ah=0.3797 Wh=1.2862 eff=86.5% flags=-
[1:22:58] #2490 V_bat=3.3956 V i_chg=+0.2779 A P_in=1.090 W Ah=0.3843 Wh=1.3019 eff=86.5% flags=-
[1:23:58] #2520 V_bat=3.3960 V i_chg=+0.2779 A P_in=1.090 W Ah=0.3890 Wh=1.3177 eff=86.5% flags=-
[1:24:58] #2550 V_bat=3.3964 V i_chg=+0.2779 A P_in=1.091 W Ah=0.3936 Wh=1.3334 eff=86.5% flags=-
[1:25:58] #2580 V_bat=3.3967 V i_chg=+0.2778 A P_in=1.090 W Ah=0.3982 Wh=1.3491 eff=86.5% flags=-
[1:26:58] #2610 V_bat=3.3971 V i_chg=+0.2778 A P_in=1.090 W Ah=0.4029 Wh=1.3648 eff=86.5% flags=-
[1:27:58] #2640 V_bat=3.3975 V i_chg=+0.2778 A P_in=1.091 W Ah=0.4075 Wh=1.3806 eff=86.6% flags=-
[1:28:58] #2670 V_bat=3.3979 V i_chg=+0.2778 A P_in=1.090 W Ah=0.4121 Wh=1.3963 eff=86.6% flags=-
[1:29:58] #2700 V_bat=3.3983 V i_chg=+0.2777 A P_in=1.090 W Ah=0.4168 Wh=1.4120 eff=86.6% flags=-
[1:30:58] #2730 V_bat=3.3988 V i_chg=+0.2777 A P_in=1.091 W Ah=0.4214 Wh=1.4278 eff=86.6% flags=-
[1:31:58] #2760 V_bat=3.3992 V i_chg=+0.2777 A P_in=1.091 W Ah=0.4260 Wh=1.4435 eff=86.6% flags=-
[1:32:58] #2790 V_bat=3.3997 V i_chg=+0.2777 A P_in=1.090 W Ah=0.4307 Wh=1.4592 eff=86.6% flags=-
[1:33:38] termination detection armed (V_bat 3.4000 V >= --term-vbat 3.4 V)
[1:33:38] #2810 V_bat=3.4000 V i_chg=+0.2776 A P_in=1.090 W Ah=0.4337 Wh=1.4697 eff=86.6% flags=TERM_ARMED
[1:33:58] #2820 V_bat=3.4002 V i_chg=+0.2776 A P_in=1.090 W Ah=0.4353 Wh=1.4750 eff=86.6% flags=-
